Year,SEX,AREA,TIME_DETAIL,Value
2007,Both sexes or no breakdown by sex,Dier Al-Balah,2007,
2014,Both sexes or no breakdown by sex,Dier Al-Balah,2014,
2017,Both sexes or no breakdown by sex,Dier Al-Balah,2017,
2019,Both sexes or no breakdown by sex,Dier Al-Balah,2019,
2007,Both sexes or no breakdown by sex,Khan Yunis,2007,
2014,Both sexes or no breakdown by sex,Khan Yunis,2014,
2017,Both sexes or no breakdown by sex,Khan Yunis,2017,
2019,Both sexes or no breakdown by sex,Khan Yunis,2019,
2007,Both sexes or no breakdown by sex,Rafah,2007,
2014,Both sexes or no breakdown by sex,Rafah,2014,
2017,Both sexes or no breakdown by sex,Rafah,2017,
2019,Both sexes or no breakdown by sex,Rafah,2019,
