Year,SEX,AREA,EDUCATION,Value
2018,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2000,Both sexes or no breakdown by sex,Jenin,Primary education,
2001,Both sexes or no breakdown by sex,Jenin,Primary education,
2002,Both sexes or no breakdown by sex,Jenin,Primary education,
2003,Both sexes or no breakdown by sex,Jenin,Primary education,
2004,Both sexes or no breakdown by sex,Jenin,Primary education,
2005,Both sexes or no breakdown by sex,Jenin,Primary education,
2006,Both sexes or no breakdown by sex,Jenin,Primary education,
2007,Both sexes or no breakdown by sex,Jenin,Primary education,
2008,Both sexes or no breakdown by sex,Jenin,Primary education,
2009,Both sexes or no breakdown by sex,Jenin,Primary education,
2010,Both sexes or no breakdown by sex,Jenin,Primary education,
2011,Both sexes or no breakdown by sex,Jenin,Primary education,
2012,Both sexes or no breakdown by sex,Jenin,Primary education,
2013,Both sexes or no breakdown by sex,Jenin,Primary education,
2014,Both sexes or no breakdown by sex,Jenin,Primary education,
2015,Both sexes or no breakdown by sex,Jenin,Primary education,
2016,Both sexes or no breakdown by sex,Jenin,Primary education,
2017,Both sexes or no breakdown by sex,Jenin,Primary education,
2018,Both sexes or no breakdown by sex,Jenin,Primary education,
2000,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2001,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2002,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2003,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2004,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2005,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2006,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2007,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2008,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2009,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2010,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2011,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2012,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2013,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2014,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2015,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2016,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2017,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2018,Both sexes or no breakdown by sex,Jenin,Lower secondary education,
2000,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2001,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2002,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2003,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2004,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2005,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2006,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2007,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2008,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2009,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2010,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2011,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2012,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2013,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2014,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2015,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2016,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2017,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2018,Both sexes or no breakdown by sex,Jenin,Upper secondary education,
2000,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2001,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2002,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2003,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2004,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2005,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2006,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2007,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2008,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2009,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2010,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2011,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2012,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2013,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2014,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2015,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2016,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2017,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2018,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Total or no breakdown by education level,
2000,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2001,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2002,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2003,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2004,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2005,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2006,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2007,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2008,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2009,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2010,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2011,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2012,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2013,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2014,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2015,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2016,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2017,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2018,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Primary education,
2000,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2001,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2002,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2003,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2004,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2005,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2006,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2007,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2008,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2009,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2010,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2011,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2012,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2013,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2014,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2015,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2016,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2017,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2018,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Lower secondary education,
2000,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2001,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2002,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2003,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2004,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2005,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2006,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2007,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2008,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2009,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2010,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2011,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2012,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2013,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2014,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2015,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2016,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2017,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
2018,Both sexes or no breakdown by sex,Tubas & Northern Valleys,Upper secondary education,
