Year,SEX,AREA,TIME_DETAIL,Value
2001,Both sexes or no breakdown by sex,Palestine,2001,36.9
2002,Both sexes or no breakdown by sex,Palestine,2002,36.1
2003,Both sexes or no breakdown by sex,Palestine,2003,32.2
2004,Both sexes or no breakdown by sex,Palestine,2004,30.8
2005,Both sexes or no breakdown by sex,Palestine,2005,29.8
2006,Both sexes or no breakdown by sex,Palestine,2006,29.1
2007,Both sexes or no breakdown by sex,Palestine,2007,29.1
2008,Both sexes or no breakdown by sex,Palestine,2008,28.8
2009,Both sexes or no breakdown by sex,Palestine,2009,28.2
2010,Both sexes or no breakdown by sex,Palestine,2010,29.3
2011,Both sexes or no breakdown by sex,Palestine,2011,27.5
2012,Both sexes or no breakdown by sex,Palestine,2012,30.0
2013,Both sexes or no breakdown by sex,Palestine,2013,31.4
2014,Both sexes or no breakdown by sex,Palestine,2014,32.2
2015,Both sexes or no breakdown by sex,Palestine,2015,32.2
2016,Both sexes or no breakdown by sex,Palestine,2016,32.4
2017,Both sexes or no breakdown by sex,Palestine,2017,33.2
