Year,SEX,AREA,TIME_DETAIL,Value
2001,Both sexes or no breakdown by sex,Palestine,2001,13.5
2002,Both sexes or no breakdown by sex,Palestine,2002,12.4
2003,Both sexes or no breakdown by sex,Palestine,2003,11.6
2004,Both sexes or no breakdown by sex,Palestine,2004,12.0
2005,Both sexes or no breakdown by sex,Palestine,2005,12.4
2006,Both sexes or no breakdown by sex,Palestine,2006,11.6
2007,Both sexes or no breakdown by sex,Palestine,2007,11.3
2008,Both sexes or no breakdown by sex,Palestine,2008,12.0
2009,Both sexes or no breakdown by sex,Palestine,2009,11.7
2010,Both sexes or no breakdown by sex,Palestine,2010,11.0
2011,Both sexes or no breakdown by sex,Palestine,2011,11.4
2012,Both sexes or no breakdown by sex,Palestine,2012,11.6
2013,Both sexes or no breakdown by sex,Palestine,2013,11.5
2014,Both sexes or no breakdown by sex,Palestine,2014,11.8
2015,Both sexes or no breakdown by sex,Palestine,2015,12.2
2016,Both sexes or no breakdown by sex,Palestine,2016,12.5
2017,Both sexes or no breakdown by sex,Palestine,2017,12.4
