Year,SEX,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2008,M,Jenin,2008,NUMBER,AG_PRD_ORTIND,
2009,M,Jenin,2009,NUMBER,AG_PRD_ORTIND,
2010,M,Jenin,2010,NUMBER,AG_PRD_ORTIND,
2011,M,Jenin,2011,NUMBER,AG_PRD_ORTIND,
2012,M,Jenin,2012,NUMBER,AG_PRD_ORTIND,
2013,M,Jenin,2013,NUMBER,AG_PRD_ORTIND,
2014,M,Jenin,2014,NUMBER,AG_PRD_ORTIND,
2015,M,Jenin,2015,NUMBER,AG_PRD_ORTIND,
2016,M,Jenin,2016,NUMBER,AG_PRD_ORTIND,
2017,M,Jenin,2017,NUMBER,AG_PRD_ORTIND,
2018,M,Jenin,2018,NUMBER,AG_PRD_ORTIND,
2019,M,Jenin,2019,NUMBER,AG_PRD_ORTIND,
2020,M,Jenin,2020,NUMBER,AG_PRD_ORTIND,
2000,F,PS,2000,NUMBER,AG_PRD_ORTIND,
2001,F,PS,2001,NUMBER,AG_PRD_ORTIND,
2002,F,PS,2002,NUMBER,AG_PRD_ORTIND,
2003,F,PS,2003,NUMBER,AG_PRD_ORTIND,
2004,F,PS,2004,NUMBER,AG_PRD_ORTIND,
2005,F,PS,2005,NUMBER,AG_PRD_ORTIND,
2006,F,PS,2006,NUMBER,AG_PRD_ORTIND,8.9
2007,F,PS,2007,NUMBER,AG_PRD_ORTIND,8.9
2008,F,PS,2008,NUMBER,AG_PRD_ORTIND,8.9
2009,F,PS,2009,NUMBER,AG_PRD_ORTIND,8.9
2010,F,PS,2010,NUMBER,AG_PRD_ORTIND,8.9
2011,F,PS,2011,NUMBER,AG_PRD_ORTIND,8.9
2012,F,PS,2012,NUMBER,AG_PRD_ORTIND,8.9
2013,F,PS,2013,NUMBER,AG_PRD_ORTIND,8.9
2014,F,PS,2014,NUMBER,AG_PRD_ORTIND,8.9
2015,F,PS,2015,NUMBER,AG_PRD_ORTIND,8.9
2016,F,PS,2016,NUMBER,AG_PRD_ORTIND,8.9
2017,F,PS,2017,NUMBER,AG_PRD_ORTIND,8.9
2018,F,PS,2018,NUMBER,AG_PRD_ORTIND,8.9
2019,F,PS,2019,NUMBER,AG_PRD_ORTIND,8.9
2020,F,PS,2020,NUMBER,AG_PRD_ORTIND,9.0
2000,F,Jenin,2000,NUMBER,AG_PRD_ORTIND,8.1
2001,F,Jenin,2001,NUMBER,AG_PRD_ORTIND,7.6
2002,F,Jenin,2002,NUMBER,AG_PRD_ORTIND,7.8
2003,F,Jenin,2003,NUMBER,AG_PRD_ORTIND,7.4
2004,F,Jenin,2004,NUMBER,AG_PRD_ORTIND,7.6
2005,F,Jenin,2005,NUMBER,AG_PRD_ORTIND,7.0
2006,F,Jenin,2006,NUMBER,AG_PRD_ORTIND,7.4
2007,F,Jenin,2007,NUMBER,AG_PRD_ORTIND,
2008,F,Jenin,2008,NUMBER,AG_PRD_ORTIND,
2009,F,Jenin,2009,NUMBER,AG_PRD_ORTIND,
2010,F,Jenin,2010,NUMBER,AG_PRD_ORTIND,
2011,F,Jenin,2011,NUMBER,AG_PRD_ORTIND,
2012,F,Jenin,2012,NUMBER,AG_PRD_ORTIND,
2013,F,Jenin,2013,NUMBER,AG_PRD_ORTIND,
2014,F,Jenin,2014,NUMBER,AG_PRD_ORTIND,
2015,F,Jenin,2015,NUMBER,AG_PRD_ORTIND,
2016,F,Jenin,2016,NUMBER,AG_PRD_ORTIND,
2017,F,Jenin,2017,NUMBER,AG_PRD_ORTIND,
2018,F,Jenin,2018,NUMBER,AG_PRD_ORTIND,
2019,F,Jenin,2019,NUMBER,AG_PRD_ORTIND,
2020,F,Jenin,2020,NUMBER,AG_PRD_ORTIND,
2000,_T,PS,2000,NUMBER,AG_PRD_ORTIND,
2001,_T,PS,2001,NUMBER,AG_PRD_ORTIND,
2002,_T,PS,2002,NUMBER,AG_PRD_ORTIND,
2003,_T,PS,2003,NUMBER,AG_PRD_ORTIND,
2004,_T,PS,2004,NUMBER,AG_PRD_ORTIND,
2005,_T,PS,2005,NUMBER,AG_PRD_ORTIND,9.0
2006,_T,PS,2006,NUMBER,AG_PRD_ORTIND,11.4
2007,_T,PS,2007,NUMBER,AG_PRD_ORTIND,8.9
2008,_T,PS,2008,NUMBER,AG_PRD_ORTIND,10.1
2009,_T,PS,2009,NUMBER,AG_PRD_ORTIND,10.0
2010,_T,PS,2010,NUMBER,AG_PRD_ORTIND,9.0
2011,_T,PS,2011,NUMBER,AG_PRD_ORTIND,8.3
2012,_T,PS,2012,NUMBER,AG_PRD_ORTIND,8.1
2013,_T,PS,2013,NUMBER,AG_PRD_ORTIND,7.6
2014,_T,PS,2014,NUMBER,AG_PRD_ORTIND,7.8
2015,_T,PS,2015,NUMBER,AG_PRD_ORTIND,7.4
2016,_T,PS,2016,NUMBER,AG_PRD_ORTIND,7.6
2017,_T,PS,2017,NUMBER,AG_PRD_ORTIND,7.0
2018,_T,PS,2018,NUMBER,AG_PRD_ORTIND,7.4
2019,_T,PS,2019,NUMBER,AG_PRD_ORTIND,
2020,_T,PS,2020,NUMBER,AG_PRD_ORTIND,
2000,_T,Jenin,2000,NUMBER,AG_PRD_ORTIND,
2001,_T,Jenin,2001,NUMBER,AG_PRD_ORTIND,
2002,_T,Jenin,2002,NUMBER,AG_PRD_ORTIND,
2003,_T,Jenin,2003,NUMBER,AG_PRD_ORTIND,
2004,_T,Jenin,2004,NUMBER,AG_PRD_ORTIND,
2005,_T,Jenin,2005,NUMBER,AG_PRD_ORTIND,
2006,_T,Jenin,2006,NUMBER,AG_PRD_ORTIND,
2007,_T,Jenin,2007,NUMBER,AG_PRD_ORTIND,
2008,_T,Jenin,2008,NUMBER,AG_PRD_ORTIND,
2009,_T,Jenin,2009,NUMBER,AG_PRD_ORTIND,
2010,_T,Jenin,2010,NUMBER,AG_PRD_ORTIND,
2011,_T,Jenin,2011,NUMBER,AG_PRD_ORTIND,
2012,_T,Jenin,2012,NUMBER,AG_PRD_ORTIND,
2013,_T,Jenin,2013,NUMBER,AG_PRD_ORTIND,
2014,_T,Jenin,2014,NUMBER,AG_PRD_ORTIND,
2015,_T,Jenin,2015,NUMBER,AG_PRD_ORTIND,
2016,_T,Jenin,2016,NUMBER,AG_PRD_ORTIND,
2017,_T,Jenin,2017,NUMBER,AG_PRD_ORTIND,
2018,_T,Jenin,2018,NUMBER,AG_PRD_ORTIND,
2019,_T,Jenin,2019,NUMBER,AG_PRD_ORTIND,
2020,_T,Jenin,2020,NUMBER,AG_PRD_ORTIND,
