Year,SEX,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2018,M,Gaza Strip,2018,NUMBER,IC_GEN_MGTL,
2019,M,Gaza Strip,2019,NUMBER,IC_GEN_MGTL,
2000,M,PS,2000,NUMBER,IC_GEN_MGTL,76.9
2001,M,PS,2001,NUMBER,IC_GEN_MGTL,77.0
2002,M,PS,2002,NUMBER,IC_GEN_MGTL,80.3
2003,M,PS,2003,NUMBER,IC_GEN_MGTL,76.3
2004,M,PS,2004,NUMBER,IC_GEN_MGTL,79.9
2005,M,PS,2005,NUMBER,IC_GEN_MGTL,78.0
2006,M,PS,2006,NUMBER,IC_GEN_MGTL,78.9
2007,M,PS,2007,NUMBER,IC_GEN_MGTL,81.6
2008,M,PS,2008,NUMBER,IC_GEN_MGTL,81.0
2009,M,PS,2009,NUMBER,IC_GEN_MGTL,77.0
2010,M,PS,2010,NUMBER,IC_GEN_MGTL,78.3
2011,M,PS,2011,NUMBER,IC_GEN_MGTL,77.2
2012,M,PS,2012,NUMBER,IC_GEN_MGTL,84.6
2013,M,PS,2013,NUMBER,IC_GEN_MGTL,83.8
2014,M,PS,2014,NUMBER,IC_GEN_MGTL,83.4
2015,M,PS,2015,NUMBER,IC_GEN_MGTL,83.7
2016,M,PS,2016,NUMBER,IC_GEN_MGTL,80.6
2017,M,PS,2017,NUMBER,IC_GEN_MGTL,84.3
2018,M,PS,2018,NUMBER,IC_GEN_MGTL,82.6
2019,M,PS,2019,NUMBER,IC_GEN_MGTL,97.8
2000,F,West Bank,2000,NUMBER,IC_GEN_MGTL,
2001,F,West Bank,2001,NUMBER,IC_GEN_MGTL,
2002,F,West Bank,2002,NUMBER,IC_GEN_MGTL,
2003,F,West Bank,2003,NUMBER,IC_GEN_MGTL,
2004,F,West Bank,2004,NUMBER,IC_GEN_MGTL,
2005,F,West Bank,2005,NUMBER,IC_GEN_MGTL,
2006,F,West Bank,2006,NUMBER,IC_GEN_MGTL,
2007,F,West Bank,2007,NUMBER,IC_GEN_MGTL,
2008,F,West Bank,2008,NUMBER,IC_GEN_MGTL,
2009,F,West Bank,2009,NUMBER,IC_GEN_MGTL,
2010,F,West Bank,2010,NUMBER,IC_GEN_MGTL,
2011,F,West Bank,2011,NUMBER,IC_GEN_MGTL,
2012,F,West Bank,2012,NUMBER,IC_GEN_MGTL,
2013,F,West Bank,2013,NUMBER,IC_GEN_MGTL,
2014,F,West Bank,2014,NUMBER,IC_GEN_MGTL,
2015,F,West Bank,2015,NUMBER,IC_GEN_MGTL,
2016,F,West Bank,2016,NUMBER,IC_GEN_MGTL,
2017,F,West Bank,2017,NUMBER,IC_GEN_MGTL,
2018,F,West Bank,2018,NUMBER,IC_GEN_MGTL,
2019,F,West Bank,2019,NUMBER,IC_GEN_MGTL,
2000,F,Gaza Strip,2000,NUMBER,IC_GEN_MGTL,
2001,F,Gaza Strip,2001,NUMBER,IC_GEN_MGTL,
2002,F,Gaza Strip,2002,NUMBER,IC_GEN_MGTL,
2003,F,Gaza Strip,2003,NUMBER,IC_GEN_MGTL,
2004,F,Gaza Strip,2004,NUMBER,IC_GEN_MGTL,
2005,F,Gaza Strip,2005,NUMBER,IC_GEN_MGTL,
2006,F,Gaza Strip,2006,NUMBER,IC_GEN_MGTL,
2007,F,Gaza Strip,2007,NUMBER,IC_GEN_MGTL,
2008,F,Gaza Strip,2008,NUMBER,IC_GEN_MGTL,
2009,F,Gaza Strip,2009,NUMBER,IC_GEN_MGTL,
2010,F,Gaza Strip,2010,NUMBER,IC_GEN_MGTL,
2011,F,Gaza Strip,2011,NUMBER,IC_GEN_MGTL,
2012,F,Gaza Strip,2012,NUMBER,IC_GEN_MGTL,
2013,F,Gaza Strip,2013,NUMBER,IC_GEN_MGTL,
2014,F,Gaza Strip,2014,NUMBER,IC_GEN_MGTL,
2015,F,Gaza Strip,2015,NUMBER,IC_GEN_MGTL,
2016,F,Gaza Strip,2016,NUMBER,IC_GEN_MGTL,
2017,F,Gaza Strip,2017,NUMBER,IC_GEN_MGTL,
2018,F,Gaza Strip,2018,NUMBER,IC_GEN_MGTL,
2019,F,Gaza Strip,2019,NUMBER,IC_GEN_MGTL,
2000,F,PS,2000,NUMBER,IC_GEN_MGTL,23.1
2001,F,PS,2001,NUMBER,IC_GEN_MGTL,23.0
2002,F,PS,2002,NUMBER,IC_GEN_MGTL,19.7
2003,F,PS,2003,NUMBER,IC_GEN_MGTL,23.7
2004,F,PS,2004,NUMBER,IC_GEN_MGTL,20.1
2005,F,PS,2005,NUMBER,IC_GEN_MGTL,22.0
2006,F,PS,2006,NUMBER,IC_GEN_MGTL,21.1
2007,F,PS,2007,NUMBER,IC_GEN_MGTL,18.4
2008,F,PS,2008,NUMBER,IC_GEN_MGTL,19.0
2009,F,PS,2009,NUMBER,IC_GEN_MGTL,23.0
2010,F,PS,2010,NUMBER,IC_GEN_MGTL,21.7
2011,F,PS,2011,NUMBER,IC_GEN_MGTL,22.8
2012,F,PS,2012,NUMBER,IC_GEN_MGTL,15.4
2013,F,PS,2013,NUMBER,IC_GEN_MGTL,16.2
2014,F,PS,2014,NUMBER,IC_GEN_MGTL,16.6
2015,F,PS,2015,NUMBER,IC_GEN_MGTL,16.3
2016,F,PS,2016,NUMBER,IC_GEN_MGTL,19.4
2017,F,PS,2017,NUMBER,IC_GEN_MGTL,15.7
2018,F,PS,2018,NUMBER,IC_GEN_MGTL,17.4
2019,F,PS,2019,NUMBER,IC_GEN_MGTL,20.2
2000,_T,West Bank,2000,NUMBER,IC_GEN_MGTL,25.9
2001,_T,West Bank,2001,NUMBER,IC_GEN_MGTL,25.4
2002,_T,West Bank,2002,NUMBER,IC_GEN_MGTL,20.5
2003,_T,West Bank,2003,NUMBER,IC_GEN_MGTL,25.0
2004,_T,West Bank,2004,NUMBER,IC_GEN_MGTL,22.9
2005,_T,West Bank,2005,NUMBER,IC_GEN_MGTL,25.1
2006,_T,West Bank,2006,NUMBER,IC_GEN_MGTL,24.0
2007,_T,West Bank,2007,NUMBER,IC_GEN_MGTL,23.4
2008,_T,West Bank,2008,NUMBER,IC_GEN_MGTL,20.6
2009,_T,West Bank,2009,NUMBER,IC_GEN_MGTL,25.6
2010,_T,West Bank,2010,NUMBER,IC_GEN_MGTL,26.7
2011,_T,West Bank,2011,NUMBER,IC_GEN_MGTL,27.5
2012,_T,West Bank,2012,NUMBER,IC_GEN_MGTL,13.2
2013,_T,West Bank,2013,NUMBER,IC_GEN_MGTL,14.7
2014,_T,West Bank,2014,NUMBER,IC_GEN_MGTL,16.2
2015,_T,West Bank,2015,NUMBER,IC_GEN_MGTL,14.5
2016,_T,West Bank,2016,NUMBER,IC_GEN_MGTL,19.2
2017,_T,West Bank,2017,NUMBER,IC_GEN_MGTL,14.6
2018,_T,West Bank,2018,NUMBER,IC_GEN_MGTL,14.6
2019,_T,West Bank,2019,NUMBER,IC_GEN_MGTL,16.6
2000,_T,Gaza Strip,2000,NUMBER,IC_GEN_MGTL,15.0
2001,_T,Gaza Strip,2001,NUMBER,IC_GEN_MGTL,13.7
2002,_T,Gaza Strip,2002,NUMBER,IC_GEN_MGTL,17.1
2003,_T,Gaza Strip,2003,NUMBER,IC_GEN_MGTL,19.6
2004,_T,Gaza Strip,2004,NUMBER,IC_GEN_MGTL,12.6
2005,_T,Gaza Strip,2005,NUMBER,IC_GEN_MGTL,15.9
2006,_T,Gaza Strip,2006,NUMBER,IC_GEN_MGTL,8.0
2007,_T,Gaza Strip,2007,NUMBER,IC_GEN_MGTL,10.5
2008,_T,Gaza Strip,2008,NUMBER,IC_GEN_MGTL,14.7
2009,_T,Gaza Strip,2009,NUMBER,IC_GEN_MGTL,17.5
2010,_T,Gaza Strip,2010,NUMBER,IC_GEN_MGTL,8.8
2011,_T,Gaza Strip,2011,NUMBER,IC_GEN_MGTL,14.2
2012,_T,Gaza Strip,2012,NUMBER,IC_GEN_MGTL,27.5
2013,_T,Gaza Strip,2013,NUMBER,IC_GEN_MGTL,21.4
2014,_T,Gaza Strip,2014,NUMBER,IC_GEN_MGTL,18.2
2015,_T,Gaza Strip,2015,NUMBER,IC_GEN_MGTL,22.4
2016,_T,Gaza Strip,2016,NUMBER,IC_GEN_MGTL,20.3
2017,_T,Gaza Strip,2017,NUMBER,IC_GEN_MGTL,19.6
2018,_T,Gaza Strip,2018,NUMBER,IC_GEN_MGTL,30.8
2019,_T,Gaza Strip,2019,NUMBER,IC_GEN_MGTL,38.9
2000,_T,PS,2000,NUMBER,IC_GEN_MGTL,23.1
2001,_T,PS,2001,NUMBER,IC_GEN_MGTL,23.0
2002,_T,PS,2002,NUMBER,IC_GEN_MGTL,19.7
2003,_T,PS,2003,NUMBER,IC_GEN_MGTL,23.7
2004,_T,PS,2004,NUMBER,IC_GEN_MGTL,20.1
2005,_T,PS,2005,NUMBER,IC_GEN_MGTL,22.0
2006,_T,PS,2006,NUMBER,IC_GEN_MGTL,21.1
2007,_T,PS,2007,NUMBER,IC_GEN_MGTL,18.4
2008,_T,PS,2008,NUMBER,IC_GEN_MGTL,19.0
2009,_T,PS,2009,NUMBER,IC_GEN_MGTL,23.0
2010,_T,PS,2010,NUMBER,IC_GEN_MGTL,21.7
2011,_T,PS,2011,NUMBER,IC_GEN_MGTL,22.8
2012,_T,PS,2012,NUMBER,IC_GEN_MGTL,15.4
2013,_T,PS,2013,NUMBER,IC_GEN_MGTL,16.2
2014,_T,PS,2014,NUMBER,IC_GEN_MGTL,16.6
2015,_T,PS,2015,NUMBER,IC_GEN_MGTL,16.3
2016,_T,PS,2016,NUMBER,IC_GEN_MGTL,19.4
2017,_T,PS,2017,NUMBER,IC_GEN_MGTL,15.7
2018,_T,PS,2018,NUMBER,IC_GEN_MGTL,17.4
2019,_T,PS,2019,NUMBER,IC_GEN_MGTL,20.2
