Year,SEX,REF_AREA,TIME_DETAIL,SERIES,Value
2014,M,Qalqiliya,2014,SL_TLF_UEM,10.9
2015,M,Qalqiliya,2015,SL_TLF_UEM,10.9
2016,M,Qalqiliya,2016,SL_TLF_UEM,10.1
2017,M,Qalqiliya,2017,SL_TLF_UEM,7.2
2018,M,Qalqiliya,2018,SL_TLF_UEM,2.8
2000,M,Salfit,2000,SL_TLF_UEM,18.8
2001,M,Salfit,2001,SL_TLF_UEM,47.0
2002,M,Salfit,2002,SL_TLF_UEM,34.4
2003,M,Salfit,2003,SL_TLF_UEM,27.3
2004,M,Salfit,2004,SL_TLF_UEM,21.7
2005,M,Salfit,2005,SL_TLF_UEM,22.1
2006,M,Salfit,2006,SL_TLF_UEM,18.2
2007,M,Salfit,2007,SL_TLF_UEM,18.2
2008,M,Salfit,2008,SL_TLF_UEM,19.5
2009,M,Salfit,2009,SL_TLF_UEM,14.0
2010,M,Salfit,2010,SL_TLF_UEM,12.7
2011,M,Salfit,2011,SL_TLF_UEM,13.7
2012,M,Salfit,2012,SL_TLF_UEM,13.5
2013,M,Salfit,2013,SL_TLF_UEM,17.4
2014,M,Salfit,2014,SL_TLF_UEM,13.8
2015,M,Salfit,2015,SL_TLF_UEM,11.9
2016,M,Salfit,2016,SL_TLF_UEM,13.9
2017,M,Salfit,2017,SL_TLF_UEM,14.6
2018,M,Salfit,2018,SL_TLF_UEM,17.6
2000,M,Ramallah & Al-Bireh,2000,SL_TLF_UEM,9.9
2001,M,Ramallah & Al-Bireh,2001,SL_TLF_UEM,28.4
2002,M,Ramallah & Al-Bireh,2002,SL_TLF_UEM,28.1
2003,M,Ramallah & Al-Bireh,2003,SL_TLF_UEM,21.8
2004,M,Ramallah & Al-Bireh,2004,SL_TLF_UEM,20.8
2005,M,Ramallah & Al-Bireh,2005,SL_TLF_UEM,16.2
2006,M,Ramallah & Al-Bireh,2006,SL_TLF_UEM,15.4
2007,M,Ramallah & Al-Bireh,2007,SL_TLF_UEM,15.7
2008,M,Ramallah & Al-Bireh,2008,SL_TLF_UEM,17.8
2009,M,Ramallah & Al-Bireh,2009,SL_TLF_UEM,17.3
2010,M,Ramallah & Al-Bireh,2010,SL_TLF_UEM,15.3
2011,M,Ramallah & Al-Bireh,2011,SL_TLF_UEM,15.5
2012,M,Ramallah & Al-Bireh,2012,SL_TLF_UEM,16.5
2013,M,Ramallah & Al-Bireh,2013,SL_TLF_UEM,16.6
2014,M,Ramallah & Al-Bireh,2014,SL_TLF_UEM,12.8
2015,M,Ramallah & Al-Bireh,2015,SL_TLF_UEM,17.5
2016,M,Ramallah & Al-Bireh,2016,SL_TLF_UEM,14.7
2017,M,Ramallah & Al-Bireh,2017,SL_TLF_UEM,15.5
2018,M,Ramallah & Al-Bireh,2018,SL_TLF_UEM,14.4
2000,M,Jericho & AL Aghwar,2000,SL_TLF_UEM,7.9
2001,M,Jericho & AL Aghwar,2001,SL_TLF_UEM,12.8
2002,M,Jericho & AL Aghwar,2002,SL_TLF_UEM,11.6
2003,M,Jericho & AL Aghwar,2003,SL_TLF_UEM,9.2
2004,M,Jericho & AL Aghwar,2004,SL_TLF_UEM,12.3
2005,M,Jericho & AL Aghwar,2005,SL_TLF_UEM,13.0
2006,M,Jericho & AL Aghwar,2006,SL_TLF_UEM,14.9
2007,M,Jericho & AL Aghwar,2007,SL_TLF_UEM,7.8
2008,M,Jericho & AL Aghwar,2008,SL_TLF_UEM,10.0
2009,M,Jericho & AL Aghwar,2009,SL_TLF_UEM,8.6
2010,M,Jericho & AL Aghwar,2010,SL_TLF_UEM,13.2
2011,M,Jericho & AL Aghwar,2011,SL_TLF_UEM,11.9
2012,M,Jericho & AL Aghwar,2012,SL_TLF_UEM,15.5
2013,M,Jericho & AL Aghwar,2013,SL_TLF_UEM,14.9
2014,M,Jericho & AL Aghwar,2014,SL_TLF_UEM,16.4
2015,M,Jericho & AL Aghwar,2015,SL_TLF_UEM,12.4
2016,M,Jericho & AL Aghwar,2016,SL_TLF_UEM,9.5
2017,M,Jericho & AL Aghwar,2017,SL_TLF_UEM,12.3
2018,M,Jericho & AL Aghwar,2018,SL_TLF_UEM,15.8
2000,M,Jerusalem,2000,SL_TLF_UEM,12.4
2001,M,Jerusalem,2001,SL_TLF_UEM,17.2
2002,M,Jerusalem,2002,SL_TLF_UEM,31.0
2003,M,Jerusalem,2003,SL_TLF_UEM,24.3
2004,M,Jerusalem,2004,SL_TLF_UEM,25.1
2005,M,Jerusalem,2005,SL_TLF_UEM,18.3
2006,M,Jerusalem,2006,SL_TLF_UEM,14.8
2007,M,Jerusalem,2007,SL_TLF_UEM,15.4
2008,M,Jerusalem,2008,SL_TLF_UEM,12.2
2009,M,Jerusalem,2009,SL_TLF_UEM,11.3
2010,M,Jerusalem,2010,SL_TLF_UEM,11.3
2011,M,Jerusalem,2011,SL_TLF_UEM,11.9
2012,M,Jerusalem,2012,SL_TLF_UEM,17.3
2013,M,Jerusalem,2013,SL_TLF_UEM,18.1
2014,M,Jerusalem,2014,SL_TLF_UEM,16.8
2015,M,Jerusalem,2015,SL_TLF_UEM,12.2
2016,M,Jerusalem,2016,SL_TLF_UEM,15.6
2017,M,Jerusalem,2017,SL_TLF_UEM,10.8
2018,M,Jerusalem,2018,SL_TLF_UEM,9.1
2000,M,Bethlehem,2000,SL_TLF_UEM,10.4
2001,M,Bethlehem,2001,SL_TLF_UEM,12.1
2002,M,Bethlehem,2002,SL_TLF_UEM,22.7
2003,M,Bethlehem,2003,SL_TLF_UEM,19.8
2004,M,Bethlehem,2004,SL_TLF_UEM,23.2
2005,M,Bethlehem,2005,SL_TLF_UEM,14.2
2006,M,Bethlehem,2006,SL_TLF_UEM,13.8
2007,M,Bethlehem,2007,SL_TLF_UEM,18.8
2008,M,Bethlehem,2008,SL_TLF_UEM,23.0
2009,M,Bethlehem,2009,SL_TLF_UEM,20.4
2010,M,Bethlehem,2010,SL_TLF_UEM,20.2
2011,M,Bethlehem,2011,SL_TLF_UEM,18.3
2012,M,Bethlehem,2012,SL_TLF_UEM,20.2
2013,M,Bethlehem,2013,SL_TLF_UEM,20.3
2014,M,Bethlehem,2014,SL_TLF_UEM,17.7
2015,M,Bethlehem,2015,SL_TLF_UEM,11.3
2016,M,Bethlehem,2016,SL_TLF_UEM,17.9
2017,M,Bethlehem,2017,SL_TLF_UEM,17.1
2018,M,Bethlehem,2018,SL_TLF_UEM,17.8
2000,M,Hebron,2000,SL_TLF_UEM,10.5
2001,M,Hebron,2001,SL_TLF_UEM,17.0
2002,M,Hebron,2002,SL_TLF_UEM,28.7
2003,M,Hebron,2003,SL_TLF_UEM,23.3
2004,M,Hebron,2004,SL_TLF_UEM,27.6
2005,M,Hebron,2005,SL_TLF_UEM,27.9
2006,M,Hebron,2006,SL_TLF_UEM,24.9
2007,M,Hebron,2007,SL_TLF_UEM,23.9
2008,M,Hebron,2008,SL_TLF_UEM,28.1
2009,M,Hebron,2009,SL_TLF_UEM,23.2
2010,M,Hebron,2010,SL_TLF_UEM,21.3
2011,M,Hebron,2011,SL_TLF_UEM,19.7
2012,M,Hebron,2012,SL_TLF_UEM,20.4
2013,M,Hebron,2013,SL_TLF_UEM,21.6
2014,M,Hebron,2014,SL_TLF_UEM,18.6
2015,M,Hebron,2015,SL_TLF_UEM,18.1
2016,M,Hebron,2016,SL_TLF_UEM,18.3
2017,M,Hebron,2017,SL_TLF_UEM,19.0
2018,M,Hebron,2018,SL_TLF_UEM,17.1
2000,M,North Gaza,2000,SL_TLF_UEM,17.0
2001,M,North Gaza,2001,SL_TLF_UEM,36.4
2002,M,North Gaza,2002,SL_TLF_UEM,38.6
2003,M,North Gaza,2003,SL_TLF_UEM,27.7
2004,M,North Gaza,2004,SL_TLF_UEM,37.5
2005,M,North Gaza,2005,SL_TLF_UEM,33.9
2006,M,North Gaza,2006,SL_TLF_UEM,39.7
2007,M,North Gaza,2007,SL_TLF_UEM,31.8
2008,M,North Gaza,2008,SL_TLF_UEM,40.4
2009,M,North Gaza,2009,SL_TLF_UEM,35.6
2010,M,North Gaza,2010,SL_TLF_UEM,34.7
2011,M,North Gaza,2011,SL_TLF_UEM,25.6
2012,M,North Gaza,2012,SL_TLF_UEM,29.6
2013,M,North Gaza,2013,SL_TLF_UEM,29.0
2014,M,North Gaza,2014,SL_TLF_UEM,39.6
2015,M,North Gaza,2015,SL_TLF_UEM,37.5
2016,M,North Gaza,2016,SL_TLF_UEM,37.8
2017,M,North Gaza,2017,SL_TLF_UEM,34.9
2018,M,North Gaza,2018,SL_TLF_UEM,39.4
2000,M,Gaza,2000,SL_TLF_UEM,17.1
2001,M,Gaza,2001,SL_TLF_UEM,33.7
2002,M,Gaza,2002,SL_TLF_UEM,36.6
2003,M,Gaza,2003,SL_TLF_UEM,27.3
2004,M,Gaza,2004,SL_TLF_UEM,32.9
2005,M,Gaza,2005,SL_TLF_UEM,25.5
2006,M,Gaza,2006,SL_TLF_UEM,33.2
2007,M,Gaza,2007,SL_TLF_UEM,23.7
2008,M,Gaza,2008,SL_TLF_UEM,37.2
2009,M,Gaza,2009,SL_TLF_UEM,33.6
2010,M,Gaza,2010,SL_TLF_UEM,33.5
2011,M,Gaza,2011,SL_TLF_UEM,24.3
2012,M,Gaza,2012,SL_TLF_UEM,23.7
2013,M,Gaza,2013,SL_TLF_UEM,24.7
2014,M,Gaza,2014,SL_TLF_UEM,35.4
2015,M,Gaza,2015,SL_TLF_UEM,30.9
2016,M,Gaza,2016,SL_TLF_UEM,28.0
2017,M,Gaza,2017,SL_TLF_UEM,32.2
2018,M,Gaza,2018,SL_TLF_UEM,40.5
2000,M,Dier Al-Balah,2000,SL_TLF_UEM,21.8
2001,M,Dier Al-Balah,2001,SL_TLF_UEM,34.4
2002,M,Dier Al-Balah,2002,SL_TLF_UEM,40.0
2003,M,Dier Al-Balah,2003,SL_TLF_UEM,31.1
2004,M,Dier Al-Balah,2004,SL_TLF_UEM,36.6
2005,M,Dier Al-Balah,2005,SL_TLF_UEM,33.6
2006,M,Dier Al-Balah,2006,SL_TLF_UEM,35.9
2007,M,Dier Al-Balah,2007,SL_TLF_UEM,33.6
2008,M,Dier Al-Balah,2008,SL_TLF_UEM,39.7
2009,M,Dier Al-Balah,2009,SL_TLF_UEM,32.0
2010,M,Dier Al-Balah,2010,SL_TLF_UEM,38.3
2011,M,Dier Al-Balah,2011,SL_TLF_UEM,22.3
2012,M,Dier Al-Balah,2012,SL_TLF_UEM,24.1
2013,M,Dier Al-Balah,2013,SL_TLF_UEM,23.8
2014,M,Dier Al-Balah,2014,SL_TLF_UEM,44.0
2015,M,Dier Al-Balah,2015,SL_TLF_UEM,44.2
2016,M,Dier Al-Balah,2016,SL_TLF_UEM,38.1
2017,M,Dier Al-Balah,2017,SL_TLF_UEM,43.0
2018,M,Dier Al-Balah,2018,SL_TLF_UEM,50.2
2000,M,Khan Yunis,2000,SL_TLF_UEM,21.5
2001,M,Khan Yunis,2001,SL_TLF_UEM,37.6
2002,M,Khan Yunis,2002,SL_TLF_UEM,39.6
2003,M,Khan Yunis,2003,SL_TLF_UEM,34.3
2004,M,Khan Yunis,2004,SL_TLF_UEM,39.6
2005,M,Khan Yunis,2005,SL_TLF_UEM,31.2
2006,M,Khan Yunis,2006,SL_TLF_UEM,36.2
2007,M,Khan Yunis,2007,SL_TLF_UEM,36.6
2008,M,Khan Yunis,2008,SL_TLF_UEM,48.6
2009,M,Khan Yunis,2009,SL_TLF_UEM,47.7
2010,M,Khan Yunis,2010,SL_TLF_UEM,41.3
2011,M,Khan Yunis,2011,SL_TLF_UEM,28.1
2012,M,Khan Yunis,2012,SL_TLF_UEM,29.4
2013,M,Khan Yunis,2013,SL_TLF_UEM,34.3
2014,M,Khan Yunis,2014,SL_TLF_UEM,43.8
2015,M,Khan Yunis,2015,SL_TLF_UEM,37.8
2016,M,Khan Yunis,2016,SL_TLF_UEM,39.5
2017,M,Khan Yunis,2017,SL_TLF_UEM,40.4
2018,M,Khan Yunis,2018,SL_TLF_UEM,47.1
2000,M,Rafah,2000,SL_TLF_UEM,19.4
2001,M,Rafah,2001,SL_TLF_UEM,35.2
2002,M,Rafah,2002,SL_TLF_UEM,42.7
2003,M,Rafah,2003,SL_TLF_UEM,29.1
2004,M,Rafah,2004,SL_TLF_UEM,36.2
2005,M,Rafah,2005,SL_TLF_UEM,28.8
2006,M,Rafah,2006,SL_TLF_UEM,30.3
2007,M,Rafah,2007,SL_TLF_UEM,27.7
2008,M,Rafah,2008,SL_TLF_UEM,33.9
2009,M,Rafah,2009,SL_TLF_UEM,36.8
2010,M,Rafah,2010,SL_TLF_UEM,32.4
2011,M,Rafah,2011,SL_TLF_UEM,29.3
2012,M,Rafah,2012,SL_TLF_UEM,28.3
2013,M,Rafah,2013,SL_TLF_UEM,33.2
2014,M,Rafah,2014,SL_TLF_UEM,42.1
2015,M,Rafah,2015,SL_TLF_UEM,34.5
2016,M,Rafah,2016,SL_TLF_UEM,34.4
2017,M,Rafah,2017,SL_TLF_UEM,38.3
2018,M,Rafah,2018,SL_TLF_UEM,45.7
2000,F,Jenin,2000,SL_TLF_UEM,7.2
2001,F,Jenin,2001,SL_TLF_UEM,10.1
2002,F,Jenin,2002,SL_TLF_UEM,20.1
2003,F,Jenin,2003,SL_TLF_UEM,19.1
2004,F,Jenin,2004,SL_TLF_UEM,20.4
2005,F,Jenin,2005,SL_TLF_UEM,23.2
2006,F,Jenin,2006,SL_TLF_UEM,21.3
2007,F,Jenin,2007,SL_TLF_UEM,14.1
2008,F,Jenin,2008,SL_TLF_UEM,14.6
2009,F,Jenin,2009,SL_TLF_UEM,18.9
2010,F,Jenin,2010,SL_TLF_UEM,15.0
2011,F,Jenin,2011,SL_TLF_UEM,17.2
2012,F,Jenin,2012,SL_TLF_UEM,21.2
2013,F,Jenin,2013,SL_TLF_UEM,29.7
2014,F,Jenin,2014,SL_TLF_UEM,31.2
2015,F,Jenin,2015,SL_TLF_UEM,24.2
2016,F,Jenin,2016,SL_TLF_UEM,33.5
2017,F,Jenin,2017,SL_TLF_UEM,38.0
2018,F,Jenin,2018,SL_TLF_UEM,37.4
2000,F,Tubas & Northern Valleys,2000,SL_TLF_UEM,13.4
2001,F,Tubas & Northern Valleys,2001,SL_TLF_UEM,14.6
2002,F,Tubas & Northern Valleys,2002,SL_TLF_UEM,25.3
2003,F,Tubas & Northern Valleys,2003,SL_TLF_UEM,17.8
2004,F,Tubas & Northern Valleys,2004,SL_TLF_UEM,17.2
2005,F,Tubas & Northern Valleys,2005,SL_TLF_UEM,25.4
2006,F,Tubas & Northern Valleys,2006,SL_TLF_UEM,25.9
2007,F,Tubas & Northern Valleys,2007,SL_TLF_UEM,18.8
2008,F,Tubas & Northern Valleys,2008,SL_TLF_UEM,17.5
2009,F,Tubas & Northern Valleys,2009,SL_TLF_UEM,20.0
2010,F,Tubas & Northern Valleys,2010,SL_TLF_UEM,12.6
2011,F,Tubas & Northern Valleys,2011,SL_TLF_UEM,17.0
2012,F,Tubas & Northern Valleys,2012,SL_TLF_UEM,19.9
2013,F,Tubas & Northern Valleys,2013,SL_TLF_UEM,21.2
2014,F,Tubas & Northern Valleys,2014,SL_TLF_UEM,26.6
2015,F,Tubas & Northern Valleys,2015,SL_TLF_UEM,26.1
2016,F,Tubas & Northern Valleys,2016,SL_TLF_UEM,30.8
2017,F,Tubas & Northern Valleys,2017,SL_TLF_UEM,36.0
2018,F,Tubas & Northern Valleys,2018,SL_TLF_UEM,38.7
2000,F,Tulkarm,2000,SL_TLF_UEM,13.1
2001,F,Tulkarm,2001,SL_TLF_UEM,12.9
2002,F,Tulkarm,2002,SL_TLF_UEM,14.7
2003,F,Tulkarm,2003,SL_TLF_UEM,14.4
2004,F,Tulkarm,2004,SL_TLF_UEM,19.5
2005,F,Tulkarm,2005,SL_TLF_UEM,22.6
2006,F,Tulkarm,2006,SL_TLF_UEM,22.4
2007,F,Tulkarm,2007,SL_TLF_UEM,25.5
2008,F,Tulkarm,2008,SL_TLF_UEM,33.0
2009,F,Tulkarm,2009,SL_TLF_UEM,35.7
2010,F,Tulkarm,2010,SL_TLF_UEM,31.8
2011,F,Tulkarm,2011,SL_TLF_UEM,28.5
2012,F,Tulkarm,2012,SL_TLF_UEM,34.5
2013,F,Tulkarm,2013,SL_TLF_UEM,27.7
2014,F,Tulkarm,2014,SL_TLF_UEM,21.9
2015,F,Tulkarm,2015,SL_TLF_UEM,31.4
2016,F,Tulkarm,2016,SL_TLF_UEM,31.5
2017,F,Tulkarm,2017,SL_TLF_UEM,28.8
2018,F,Tulkarm,2018,SL_TLF_UEM,31.4
2000,F,Nablus,2000,SL_TLF_UEM,14.5
2001,F,Nablus,2001,SL_TLF_UEM,21.1
2002,F,Nablus,2002,SL_TLF_UEM,22.0
2003,F,Nablus,2003,SL_TLF_UEM,23.2
2004,F,Nablus,2004,SL_TLF_UEM,22.4
2005,F,Nablus,2005,SL_TLF_UEM,22.6
2006,F,Nablus,2006,SL_TLF_UEM,19.8
2007,F,Nablus,2007,SL_TLF_UEM,16.2
2008,F,Nablus,2008,SL_TLF_UEM,19.0
2009,F,Nablus,2009,SL_TLF_UEM,12.8
2010,F,Nablus,2010,SL_TLF_UEM,13.9
2011,F,Nablus,2011,SL_TLF_UEM,24.6
2012,F,Nablus,2012,SL_TLF_UEM,27.3
2013,F,Nablus,2013,SL_TLF_UEM,26.0
2014,F,Nablus,2014,SL_TLF_UEM,28.6
2015,F,Nablus,2015,SL_TLF_UEM,30.5
2016,F,Nablus,2016,SL_TLF_UEM,31.0
2017,F,Nablus,2017,SL_TLF_UEM,32.0
2018,F,Nablus,2018,SL_TLF_UEM,26.3
2000,F,Qalqiliya,2000,SL_TLF_UEM,13.4
2001,F,Qalqiliya,2001,SL_TLF_UEM,9.1
2002,F,Qalqiliya,2002,SL_TLF_UEM,10.7
2003,F,Qalqiliya,2003,SL_TLF_UEM,8.6
2004,F,Qalqiliya,2004,SL_TLF_UEM,14.7
2005,F,Qalqiliya,2005,SL_TLF_UEM,18.8
2006,F,Qalqiliya,2006,SL_TLF_UEM,17.1
2007,F,Qalqiliya,2007,SL_TLF_UEM,13.9
2008,F,Qalqiliya,2008,SL_TLF_UEM,27.0
2009,F,Qalqiliya,2009,SL_TLF_UEM,37.0
2010,F,Qalqiliya,2010,SL_TLF_UEM,25.9
2011,F,Qalqiliya,2011,SL_TLF_UEM,27.8
2012,F,Qalqiliya,2012,SL_TLF_UEM,26.5
2013,F,Qalqiliya,2013,SL_TLF_UEM,23.9
2014,F,Qalqiliya,2014,SL_TLF_UEM,18.5
2015,F,Qalqiliya,2015,SL_TLF_UEM,22.3
2016,F,Qalqiliya,2016,SL_TLF_UEM,23.8
2017,F,Qalqiliya,2017,SL_TLF_UEM,26.0
2018,F,Qalqiliya,2018,SL_TLF_UEM,27.6
2000,F,Salfit,2000,SL_TLF_UEM,13.6
2001,F,Salfit,2001,SL_TLF_UEM,11.3
2002,F,Salfit,2002,SL_TLF_UEM,11.2
2003,F,Salfit,2003,SL_TLF_UEM,10.3
2004,F,Salfit,2004,SL_TLF_UEM,10.8
2005,F,Salfit,2005,SL_TLF_UEM,18.4
2006,F,Salfit,2006,SL_TLF_UEM,14.7
2007,F,Salfit,2007,SL_TLF_UEM,21.0
2008,F,Salfit,2008,SL_TLF_UEM,21.3
2009,F,Salfit,2009,SL_TLF_UEM,22.6
2010,F,Salfit,2010,SL_TLF_UEM,22.6
2011,F,Salfit,2011,SL_TLF_UEM,21.8
2012,F,Salfit,2012,SL_TLF_UEM,31.9
2013,F,Salfit,2013,SL_TLF_UEM,27.1
2014,F,Salfit,2014,SL_TLF_UEM,32.5
2015,F,Salfit,2015,SL_TLF_UEM,28.2
2016,F,Salfit,2016,SL_TLF_UEM,22.6
2017,F,Salfit,2017,SL_TLF_UEM,22.4
2018,F,Salfit,2018,SL_TLF_UEM,24.5
2000,F,Ramallah & Al-Bireh,2000,SL_TLF_UEM,7.1
2001,F,Ramallah & Al-Bireh,2001,SL_TLF_UEM,7.9
2002,F,Ramallah & Al-Bireh,2002,SL_TLF_UEM,16.3
2003,F,Ramallah & Al-Bireh,2003,SL_TLF_UEM,13.6
2004,F,Ramallah & Al-Bireh,2004,SL_TLF_UEM,15.9
2005,F,Ramallah & Al-Bireh,2005,SL_TLF_UEM,13.7
2006,F,Ramallah & Al-Bireh,2006,SL_TLF_UEM,18.8
2007,F,Ramallah & Al-Bireh,2007,SL_TLF_UEM,17.0
2008,F,Ramallah & Al-Bireh,2008,SL_TLF_UEM,15.0
2009,F,Ramallah & Al-Bireh,2009,SL_TLF_UEM,16.4
2010,F,Ramallah & Al-Bireh,2010,SL_TLF_UEM,17.6
2011,F,Ramallah & Al-Bireh,2011,SL_TLF_UEM,18.7
2012,F,Ramallah & Al-Bireh,2012,SL_TLF_UEM,19.8
2013,F,Ramallah & Al-Bireh,2013,SL_TLF_UEM,19.5
2014,F,Ramallah & Al-Bireh,2014,SL_TLF_UEM,21.0
2015,F,Ramallah & Al-Bireh,2015,SL_TLF_UEM,27.2
2016,F,Ramallah & Al-Bireh,2016,SL_TLF_UEM,20.8
2017,F,Ramallah & Al-Bireh,2017,SL_TLF_UEM,18.1
2018,F,Ramallah & Al-Bireh,2018,SL_TLF_UEM,21.0
2000,F,Jericho & AL Aghwar,2000,SL_TLF_UEM,3.9
2001,F,Jericho & AL Aghwar,2001,SL_TLF_UEM,5.4
2002,F,Jericho & AL Aghwar,2002,SL_TLF_UEM,6.8
2003,F,Jericho & AL Aghwar,2003,SL_TLF_UEM,9.9
2004,F,Jericho & AL Aghwar,2004,SL_TLF_UEM,15.7
2005,F,Jericho & AL Aghwar,2005,SL_TLF_UEM,13.8
2006,F,Jericho & AL Aghwar,2006,SL_TLF_UEM,12.2
2007,F,Jericho & AL Aghwar,2007,SL_TLF_UEM,16.9
2008,F,Jericho & AL Aghwar,2008,SL_TLF_UEM,8.9
2009,F,Jericho & AL Aghwar,2009,SL_TLF_UEM,5.9
2010,F,Jericho & AL Aghwar,2010,SL_TLF_UEM,10.6
2011,F,Jericho & AL Aghwar,2011,SL_TLF_UEM,18.1
