Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,59.2
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,61.1
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,64.8
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,79.71
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,2019-2020,15.0
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,2019-2020,14.2
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,2019-2020,16.2
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,2019-2020,20.0
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,2019-2020,22.5
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,2019-2020,21.7
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,2019-2020,24.1
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,2019-2020,29.5
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,2019-2020,29.2
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,2019-2020,29.55
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,2019-2020,0.5
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,2019-2020,0.1
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,2019-2020,0.1
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,2019-2020,0.1
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,2019-2020,0.0
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,2019-2020,0.1
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,2019-2020,0.6
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,2019-2020,0.3
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,2019-2020,1.0
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,2019-2020,0.95
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,2019-2020,26.0
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,2019-2020,26.2
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,2019-2020,26.5
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,2019-2020,24.9
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,2019-2020,26.7
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,2019-2020,25.2
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,2019-2020,28.0
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,2019-2020,26.0
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,2019-2020,29.0
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,2019-2020,30.1
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,2019-2020,6.9
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,2019-2020,7.4
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,2019-2020,7.5
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,2019-2020,5.5
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,2019-2020,4.8
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,2019-2020,7.0
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,2019-2020,6.4
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,2019-2020,4.8
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,2019-2020,5.3
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,2019-2020,4.16
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,2019-2020,0.3
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,2019-2020,0.3
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,2019-2020,0.2
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,2019-2020,0.3
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,2019-2020,0.1
