Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,69.1
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,69.9
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,70.6
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,70.6
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,75.5
1998,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,ទីប្រជុំជន,ឆ្នាំ,2019,60.0
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,ទីប្រជុំជន,ឆ្នាំ,2019,75.6
1998,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,ជនបទ,ឆ្នាំ,2019,55.8
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,ជនបទ,ឆ្នាំ,2019,74.5
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,បន្ទាយមានជ័យ,ស្រី,,ឆ្នាំ,2008,67.9
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,បន្ទាយមានជ័យ,ប្រុស,,ឆ្នាំ,2008,64.0
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,បន្ទាយមានជ័យ,,,ឆ្នាំ,2008,65.9
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,បាត់ដំបង,ស្រី,,ឆ្នាំ,2008,67.2
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,បាត់ដំបង,ប្រុស,,ឆ្នាំ,2008,63.3
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,បាត់ដំបង,,,ឆ្នាំ,2008,65.2
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ចាម,ស្រី,,ឆ្នាំ,2008,66.7
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ចាម,ប្រុស,,ឆ្នាំ,2008,62.9
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ចាម,,,ឆ្នាំ,2008,64.8
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ឆ្នាំង,ស្រី,,ឆ្នាំ,2008,68.6
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ឆ្នាំង,ប្រុស,,ឆ្នាំ,2008,64.7
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ឆ្នាំង,,,ឆ្នាំ,2008,66.6
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ស្ពឺ,ស្រី,,ឆ្នាំ,2008,63.8
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ស្ពឺ,ប្រុស,,ឆ្នាំ,2008,60.0
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ស្ពឺ,,,ឆ្នាំ,2008,61.8
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ធំ,ស្រី,,ឆ្នាំ,2008,64.7
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ធំ,ប្រុស,,ឆ្នាំ,2008,60.9
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ធំ,,,ឆ្នាំ,2008,62.8
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពត,ស្រី,,ឆ្នាំ,2008,62.1
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពត,ប្រុស,,ឆ្នាំ,2008,58.5
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពត,,,ឆ្នាំ,2008,60.2
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កណ្តាល,ស្រី,,ឆ្នាំ,2008,67.1
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កណ្តាល,ប្រុស,,ឆ្នាំ,2008,63.2
