Year,seriesdescription,geoarea,sex,age,urbanization,education-level,wealth-quintile,unit,scale,Value
2000,SH_STA_WASTE,ET,_T,Y0T4,R,_T,_T,Percent,1,12.7
2005,SH_STA_WASTE,ET,_T,Y0T4,R,_T,_T,Percent,1,12.5
2011,SH_STA_WASTE,ET,_T,Y0T4,R,_T,_T,Percent,1,10.2
2000,SH_STA_WASTE,ET,F,Y0T4,_T,_T,_T,Percent,1,10.6
2005,SH_STA_WASTE,ET,F,Y0T4,_T,_T,_T,Percent,1,10.6
2011,SH_STA_WASTE,ET,F,Y0T4,_T,_T,_T,Percent,1,8.2
2000,SH_STA_WASTE,ET,M,Y0T4,_T,_T,_T,Percent,1,13.7
2005,SH_STA_WASTE,ET,M,Y0T4,_T,_T,_T,Percent,1,13.7
2011,SH_STA_WASTE,ET,M,Y0T4,_T,_T,_T,Percent,1,11.1
2000,SH_STA_WASTE,ET01,_T,Y0T4,_T,_T,_T,Percent,1,12.7
2005,SH_STA_WASTE,ET01,_T,Y0T4,_T,_T,_T,Percent,1,13.1
2011,SH_STA_WASTE,ET01,_T,Y0T4,_T,_T,_T,Percent,1,10.3
2000,SH_STA_WASTE,ET02,_T,Y0T4,_T,_T,_T,Percent,1,16.2
2005,SH_STA_WASTE,ET02,_T,Y0T4,_T,_T,_T,Percent,1,14.0
2011,SH_STA_WASTE,ET02,_T,Y0T4,_T,_T,_T,Percent,1,19.5
2000,SH_STA_WASTE,ET03,_T,Y0T4,_T,_T,_T,Percent,1,11.7
2005,SH_STA_WASTE,ET03,_T,Y0T4,_T,_T,_T,Percent,1,17.7
2011,SH_STA_WASTE,ET03,_T,Y0T4,_T,_T,_T,Percent,1,9.9
2000,SH_STA_WASTE,ET04,_T,Y0T4,_T,_T,_T,Percent,1,11.1
2005,SH_STA_WASTE,ET04,_T,Y0T4,_T,_T,_T,Percent,1,10.3
2011,SH_STA_WASTE,ET04,_T,Y0T4,_T,_T,_T,Percent,1,9.7
2000,SH_STA_WASTE,ET05,_T,Y0T4,_T,_T,_T,Percent,1,16.7
2005,SH_STA_WASTE,ET05,_T,Y0T4,_T,_T,_T,Percent,1,24.2
2011,SH_STA_WASTE,ET05,_T,Y0T4,_T,_T,_T,Percent,1,22.2
2000,SH_STA_WASTE,ET06,_T,Y0T4,_T,_T,_T,Percent,1,14.8
2005,SH_STA_WASTE,ET06,_T,Y0T4,_T,_T,_T,Percent,1,19.6
2011,SH_STA_WASTE,ET06,_T,Y0T4,_T,_T,_T,Percent,1,9.9
2000,SH_STA_WASTE,ET07,_T,Y0T4,_T,_T,_T,Percent,1,14.8
2005,SH_STA_WASTE,ET07,_T,Y0T4,_T,_T,_T,Percent,1,8.2
2011,SH_STA_WASTE,ET07,_T,Y0T4,_T,_T,_T,Percent,1,7.6
2000,SH_STA_WASTE,ET12,_T,Y0T4,_T,_T,_T,Percent,1,20.7
2005,SH_STA_WASTE,ET12,_T,Y0T4,_T,_T,_T,Percent,1,11.1
2011,SH_STA_WASTE,ET12,_T,Y0T4,_T,_T,_T,Percent,1,12.5
2000,SH_STA_WASTE,ET13,_T,Y0T4,_T,_T,_T,Percent,1,7.3
2005,SH_STA_WASTE,ET13,_T,Y0T4,_T,_T,_T,Percent,1,10.9
2011,SH_STA_WASTE,ET13,_T,Y0T4,_T,_T,_T,Percent,1,9.1
2000,SH_STA_WASTE,ET14,_T,Y0T4,_T,_T,_T,Percent,1,5.2
2005,SH_STA_WASTE,ET14,_T,Y0T4,_T,_T,_T,Percent,1,3.3
2011,SH_STA_WASTE,ET14,_T,Y0T4,_T,_T,_T,Percent,1,4.6
2000,SH_STA_WASTE,ET15,_T,Y0T4,_T,_T,_T,Percent,1,12.1
2005,SH_STA_WASTE,ET15,_T,Y0T4,_T,_T,_T,Percent,1,16.4
2011,SH_STA_WASTE,ET15,_T,Y0T4,_T,_T,_T,Percent,1,12.3
2005,SH_STA_OVRWGT,ET,_T,_T,_T,AGGA_01_02,_T,Percent,1,3.8
2011,SH_STA_OVRWGT,ET,_T,_T,_T,AGGA_01_02,_T,Percent,1,1.5
2000,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_1_2,_T,Percent,1,1.4
2005,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_1_2,_T,Percent,1,4.7
2011,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_1_2,_T,Percent,1,1.8
2000,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_2_3,_T,Percent,1,3.9
2005,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_2_3,_T,Percent,1,9.6
2011,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_2_3,_T,Percent,1,4.3
2000,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_5T8,_T,Percent,1,0.9
2005,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_5T8,_T,Percent,1,0.2
2011,SH_STA_OVRWGT,ET,_T,_T,_T,AGG_5T8,_T,Percent,1,7.6
2000,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,_T,Percent,1,1.8
2005,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,_T,Percent,1,4.0
2011,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,_T,Percent,1,1.7
2000,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q1,Percent,1,1.7
2005,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q1,Percent,1,3.8
2011,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q1,Percent,1,1.7
2000,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q2,Percent,1,1.5
2005,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q2,Percent,1,3.2
2011,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q2,Percent,1,1.8
2000,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q3,Percent,1,2.1
2005,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q3,Percent,1,3.6
2011,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q3,Percent,1,0.8
2000,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q4,Percent,1,1.5
2005,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q4,Percent,1,4.8
2011,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q4,Percent,1,1.5
2000,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q5,Percent,1,2.4
2005,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q5,Percent,1,5.2
2011,SH_STA_OVRWGT,ET,_T,Y0T4,_T,_T,Q5,Percent,1,2.8
2000,SH_STA_OVRWGT,ET,_T,Y0T4,U,_T,_T,Percent,1,2.8
2005,SH_STA_OVRWGT,ET,_T,Y0T4,U,_T,_T,Percent,1,5.4
2011,SH_STA_OVRWGT,ET,_T,Y0T4,U,_T,_T,Percent,1,3.3
2000,SH_STA_OVRWGT,ET,_T,Y0T4,R,_T,_T,Percent,1,1.7
2005,SH_STA_OVRWGT,ET,_T,Y0T4,R,_T,_T,Percent,1,3.9
2011,SH_STA_OVRWGT,ET,_T,Y0T4,R,_T,_T,Percent,1,1.5
2000,SH_STA_OVRWGT,ET,F,Y0T4,_T,_T,_T,Percent,1,1.8
2005,SH_STA_OVRWGT,ET,F,Y0T4,_T,_T,_T,Percent,1,3.6
2011,SH_STA_OVRWGT,ET,F,Y0T4,_T,_T,_T,Percent,1,1.9
2000,SH_STA_OVRWGT,ET,M,Y0T4,_T,_T,_T,Percent,1,1.8
2005,SH_STA_OVRWGT,ET,M,Y0T4,_T,_T,_T,Percent,1,4.4
2011,SH_STA_OVRWGT,ET,M,Y0T4,_T,_T,_T,Percent,1,1.5
2000,SH_STA_OVRWGT,ET01,_T,Y0T4,_T,_T,_T,Percent,1,1.0
2005,SH_STA_OVRWGT,ET01,_T,Y0T4,_T,_T,_T,Percent,1,2.2
2011,SH_STA_OVRWGT,ET01,_T,Y0T4,_T,_T,_T,Percent,1,1.0
2000,SH_STA_OVRWGT,ET02,_T,Y0T4,_T,_T,_T,Percent,1,2.4
2005,SH_STA_OVRWGT,ET02,_T,Y0T4,_T,_T,_T,Percent,1,7.0
2011,SH_STA_OVRWGT,ET02,_T,Y0T4,_T,_T,_T,Percent,1,2.1
2000,SH_STA_OVRWGT,ET03,_T,Y0T4,_T,_T,_T,Percent,1,1.8
2005,SH_STA_OVRWGT,ET03,_T,Y0T4,_T,_T,_T,Percent,1,3.9
2011,SH_STA_OVRWGT,ET03,_T,Y0T4,_T,_T,_T,Percent,1,1.6
2000,SH_STA_OVRWGT,ET04,_T,Y0T4,_T,_T,_T,Percent,1,2.2
2005,SH_STA_OVRWGT,ET04,_T,Y0T4,_T,_T,_T,Percent,1,4.3
2011,SH_STA_OVRWGT,ET04,_T,Y0T4,_T,_T,_T,Percent,1,1.4
2000,SH_STA_OVRWGT,ET05,_T,Y0T4,_T,_T,_T,Percent,1,5.4
2005,SH_STA_OVRWGT,ET05,_T,Y0T4,_T,_T,_T,Percent,1,5.2
2011,SH_STA_OVRWGT,ET05,_T,Y0T4,_T,_T,_T,Percent,1,1.2
2000,SH_STA_OVRWGT,ET06,_T,Y0T4,_T,_T,_T,Percent,1,1.9
2005,SH_STA_OVRWGT,ET06,_T,Y0T4,_T,_T,_T,Percent,1,0.7
2011,SH_STA_OVRWGT,ET06,_T,Y0T4,_T,_T,_T,Percent,1,1.2
2000,SH_STA_OVRWGT,ET07,_T,Y0T4,_T,_T,_T,Percent,1,1.1
2005,SH_STA_OVRWGT,ET07,_T,Y0T4,_T,_T,_T,Percent,1,4.2
2011,SH_STA_OVRWGT,ET07,_T,Y0T4,_T,_T,_T,Percent,1,2.3
2000,SH_STA_OVRWGT,ET12,_T,Y0T4,_T,_T,_T,Percent,1,2.8
2005,SH_STA_OVRWGT,ET12,_T,Y0T4,_T,_T,_T,Percent,1,8.9
2011,SH_STA_OVRWGT,ET12,_T,Y0T4,_T,_T,_T,Percent,1,0.7
2000,SH_STA_OVRWGT,ET13,_T,Y0T4,_T,_T,_T,Percent,1,2.9
2005,SH_STA_OVRWGT,ET13,_T,Y0T4,_T,_T,_T,Percent,1,5.5
2011,SH_STA_OVRWGT,ET13,_T,Y0T4,_T,_T,_T,Percent,1,1.8
2000,SH_STA_OVRWGT,ET14,_T,Y0T4,_T,_T,_T,Percent,1,4.0
2005,SH_STA_OVRWGT,ET14,_T,Y0T4,_T,_T,_T,Percent,1,3.3
2011,SH_STA_OVRWGT,ET14,_T,Y0T4,_T,_T,_T,Percent,1,5.7
2000,SH_STA_OVRWGT,ET15,_T,Y0T4,_T,_T,_T,Percent,1,2.0
2005,SH_STA_OVRWGT,ET15,_T,Y0T4,_T,_T,_T,Percent,1,3.7
2011,SH_STA_OVRWGT,ET15,_T,Y0T4,_T,_T,_T,Percent,1,2.0
