Indicator,Disaggregations,Number of disaggregations
#4-c-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#5-2-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#5-3-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#5-5-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#5-5-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#5-6-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#5-b-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#6-1-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#6-2-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#6-3-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#7-1-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#7-1-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#7-2-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#8-1-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#8-10-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#8-2-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#8-3-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#8-5-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#8-6-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#8-7-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#8-8-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#8-b-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#9-1-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#9-2-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#9-2-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#9-3-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#9-3-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#9-5-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#9-c-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
