Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2019-2020,56.0
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2019-2020,62.1
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2019-2020,76.7
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2019-2020,78.1
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2019-2020,80.9
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2019-2020,87.0
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2019-2020,94.3
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2019-2020,91.8
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2019-2020,94.3
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2019-2020,93.4
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2019-2020,96.6
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2019-2020,96.8
1993,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,3.0
1996,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,5.3
1997,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,2.2
1999,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,2.4
2004,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,2.3
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,10.3
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,11.3
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,11.5
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,18.8
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,24.0
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,26.8
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,37.9
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,48.3
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,63.3
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,76.4
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,82.4
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2019-2020,79.1
