Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ໄດ້ຮັບບາດເຈັບ ຫຼື ເຈັບຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.38
2016,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ໄດ້ຮັບບາດເຈັບ ຫຼື ເຈັບຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.0
2017,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ໄດ້ຮັບບາດເຈັບ ຫຼື ເຈັບຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.0
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ໄດ້ຮັບບາດເຈັບ ຫຼື ເຈັບຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.02
2019,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ໄດ້ຮັບບາດເຈັບ ຫຼື ເຈັບຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.22
2015,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຜູ້ຫາຍສາບສູນ ຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.0
2016,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຜູ້ຫາຍສາບສູນ ຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.0
2017,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຜູ້ຫາຍສາບສູນ ຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.0
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຜູ້ຫາຍສາບສູນ ຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.37
2019,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຜູ້ຫາຍສາບສູນ ຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.99
2015,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ບ້ານທີ່ຖືກທໍາລາຍແມ່ນຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",1.37
2016,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ບ້ານທີ່ຖືກທໍາລາຍແມ່ນຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.0
2017,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ບ້ານທີ່ຖືກທໍາລາຍແມ່ນຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.0
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ບ້ານທີ່ຖືກທໍາລາຍແມ່ນຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.0
2019,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ບ້ານທີ່ຖືກທໍາລາຍແມ່ນຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.0
