Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2013,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນທີ່ດໍາລົງຊີວິດຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກແຫ່ງຊາດ [1.2.1],Lao People's Democratic Republic,ຜູ້ຊາຍ,,,ເປີເຊັນ,24.7
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນທີ່ດໍາລົງຊີວິດຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກແຫ່ງຊາດ [1.2.1],Lao People's Democratic Republic,ຜູ້ຊາຍ,,,ເປີເຊັນ,18.5
2013,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນທີ່ດໍາລົງຊີວິດຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກແຫ່ງຊາດ [1.2.1],Lao People's Democratic Republic,ຜູ້ຍິງ,,,ເປີເຊັນ,24.6
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນທີ່ດໍາລົງຊີວິດຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກແຫ່ງຊາດ [1.2.1],Lao People's Democratic Republic,ຜູ້ຍິງ,,,ເປີເຊັນ,18.2
2013,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນທີ່ດໍາລົງຊີວິດຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກແຫ່ງຊາດ [1.2.1],Lao People's Democratic Republic,,ອາຍຸຕ່ໍາກວ່າ 15 ປີ,,ເປີເຊັນ,32.6
2013,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນທີ່ດໍາລົງຊີວິດຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກແຫ່ງຊາດ [1.2.1],Lao People's Democratic Republic,,15 ຫາ 24 ປີ,,ເປີເຊັນ,22.7
2013,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນທີ່ດໍາລົງຊີວິດຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກແຫ່ງຊາດ [1.2.1],Lao People's Democratic Republic,,55 ຫາ 64 ປີ,,ເປີເຊັນ,18.0
2013,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນທີ່ດໍາລົງຊີວິດຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກແຫ່ງຊາດ [1.2.1],Lao People's Democratic Republic,,65 ປີແລະຫຼາຍກວ່າ,,ເປີເຊັນ,22.1
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນທີ່ດໍາລົງຊີວິດຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກແຫ່ງຊາດ [1.2.1],Lao People's Democratic Republic,,ອາຍຸຕ່ໍາກວ່າ 15 ປີ,,ເປີເຊັນ,24.3
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນທີ່ດໍາລົງຊີວິດຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກແຫ່ງຊາດ [1.2.1],Lao People's Democratic Republic,,15 ຫາ 24 ປີ,,ເປີເຊັນ,19.7
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນທີ່ດໍາລົງຊີວິດຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກແຫ່ງຊາດ [1.2.1],Lao People's Democratic Republic,,55 ຫາ 64 ປີ,,ເປີເຊັນ,12.4
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງປະຊາກອນທີ່ດໍາລົງຊີວິດຕ່ໍາກວ່າເສັ້ນຄວາມທຸກຍາກແຫ່ງຊາດ [1.2.1],Lao People's Democratic Republic,,65 ປີແລະຫຼາຍກວ່າ,,ເປີເຊັນ,15.1
