Indicator,Disaggregations,Number of disaggregations
#3-1-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#3-1-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#3-2-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#3-2-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#3-3-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#3-3-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#3-3-3,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#3-4-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#3-4-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#3-6-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#3-7-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#3-b-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#3-c-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#4-2-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#4-5-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#4-a-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#4-c-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#5-1-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#5-5-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#5-a-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#6-1-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#6-5-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#6-5-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#6-6-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MULT, TIME_DETAIL",11
#6-b-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#7-1-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MULT, TIME_DETAIL",11
#7-1-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#8-1-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#8-10-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#8-2-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#8-3-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#8-5-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#8-5-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#8-6-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#9-1-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MULT, TIME_DETAIL",11
#9-2-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#9-2-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#9-3-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#9-a-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#9-c-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MULT, TIME_DETAIL",11
