Year,SEX,AREA,TIME_DETAIL,Value
2006,Female,Bethlehem,2006,13.4
2007,Female,Bethlehem,2007,13.3
2008,Female,Bethlehem,2008,14.6
2009,Female,Bethlehem,2009,19.4
2010,Female,Bethlehem,2010,24.5
2011,Female,Bethlehem,2011,21.4
2012,Female,Bethlehem,2012,19.5
2013,Female,Bethlehem,2013,24.1
2014,Female,Bethlehem,2014,29.8
2015,Female,Bethlehem,2015,21.7
2016,Female,Bethlehem,2016,32.5
2017,Female,Bethlehem,2017,32.2
2018,Female,Bethlehem,2018,31.1
2000,Female,Hebron,2000,10.4
2001,Female,Hebron,2001,9.2
2002,Female,Hebron,2002,10.9
2003,Female,Hebron,2003,14.9
2004,Female,Hebron,2004,12.8
2005,Female,Hebron,2005,16.6
2006,Female,Hebron,2006,16.3
2007,Female,Hebron,2007,15.5
2008,Female,Hebron,2008,19.3
2009,Female,Hebron,2009,18.9
2010,Female,Hebron,2010,22.5
2011,Female,Hebron,2011,25.9
2012,Female,Hebron,2012,30.1
2013,Female,Hebron,2013,34.2
2014,Female,Hebron,2014,28.2
2015,Female,Hebron,2015,24.8
2016,Female,Hebron,2016,33.6
2017,Female,Hebron,2017,38.5
2018,Female,Hebron,2018,32.9
2000,Female,North Gaza,2000,12.4
2001,Female,North Gaza,2001,19.9
2002,Female,North Gaza,2002,21.2
2003,Female,North Gaza,2003,27.1
2004,Female,North Gaza,2004,29.8
2005,Female,North Gaza,2005,30.5
2006,Female,North Gaza,2006,32.8
2007,Female,North Gaza,2007,29.6
2008,Female,North Gaza,2008,36.1
2009,Female,North Gaza,2009,42.2
2010,Female,North Gaza,2010,42.1
2011,Female,North Gaza,2011,42.9
2012,Female,North Gaza,2012,48.5
2013,Female,North Gaza,2013,52.9
2014,Female,North Gaza,2014,52.2
2015,Female,North Gaza,2015,59.4
2016,Female,North Gaza,2016,64.5
2017,Female,North Gaza,2017,69.4
2018,Female,North Gaza,2018,75.7
2000,Female,Gaza,2000,20.9
2001,Female,Gaza,2001,18.4
2002,Female,Gaza,2002,29.8
2003,Female,Gaza,2003,32.0
2004,Female,Gaza,2004,31.6
2005,Female,Gaza,2005,37.4
2006,Female,Gaza,2006,33.5
2007,Female,Gaza,2007,38.0
2008,Female,Gaza,2008,48.7
2009,Female,Gaza,2009,39.3
2010,Female,Gaza,2010,37.8
2011,Female,Gaza,2011,39.1
2012,Female,Gaza,2012,51.8
2013,Female,Gaza,2013,54.5
2014,Female,Gaza,2014,57.8
2015,Female,Gaza,2015,58.8
2016,Female,Gaza,2016,61.0
2017,Female,Gaza,2017,68.4
2018,Female,Gaza,2018,72.6
2000,Female,Dier Al-Balah,2000,26.4
2001,Female,Dier Al-Balah,2001,32.3
2002,Female,Dier Al-Balah,2002,38.1
2003,Female,Dier Al-Balah,2003,32.9
2004,Female,Dier Al-Balah,2004,37.6
2005,Female,Dier Al-Balah,2005,41.2
2006,Female,Dier Al-Balah,2006,29.9
2007,Female,Dier Al-Balah,2007,25.9
2008,Female,Dier Al-Balah,2008,47.3
2009,Female,Dier Al-Balah,2009,46.6
2010,Female,Dier Al-Balah,2010,41.6
2011,Female,Dier Al-Balah,2011,42.9
2012,Female,Dier Al-Balah,2012,54.7
2013,Female,Dier Al-Balah,2013,62.5
2014,Female,Dier Al-Balah,2014,64.9
2015,Female,Dier Al-Balah,2015,58.8
2016,Female,Dier Al-Balah,2016,60.9
2017,Female,Dier Al-Balah,2017,65.1
2018,Female,Dier Al-Balah,2018,71.6
2000,Female,Khan Yunis,2000,15.3
2001,Female,Khan Yunis,2001,24.8
2002,Female,Khan Yunis,2002,24.0
2003,Female,Khan Yunis,2003,18.6
2004,Female,Khan Yunis,2004,27.3
2005,Female,Khan Yunis,2005,30.7
2006,Female,Khan Yunis,2006,34.5
2007,Female,Khan Yunis,2007,25.1
2008,Female,Khan Yunis,2008,38.8
2009,Female,Khan Yunis,2009,56.5
2010,Female,Khan Yunis,2010,63.4
2011,Female,Khan Yunis,2011,49.4
2012,Female,Khan Yunis,2012,45.7
2013,Female,Khan Yunis,2013,49.3
2014,Female,Khan Yunis,2014,53.2
2015,Female,Khan Yunis,2015,58.3
2016,Female,Khan Yunis,2016,71.9
2017,Female,Khan Yunis,2017,73.0
2018,Female,Khan Yunis,2018,81.1
2000,Female,Rafah,2000,18.7
2001,Female,Rafah,2001,28.6
2002,Female,Rafah,2002,23.7
2003,Female,Rafah,2003,20.7
2004,Female,Rafah,2004,27.2
2005,Female,Rafah,2005,29.9
2006,Female,Rafah,2006,28.7
2007,Female,Rafah,2007,31.6
2008,Female,Rafah,2008,41.8
2009,Female,Rafah,2009,46.0
2010,Female,Rafah,2010,55.1
2011,Female,Rafah,2011,46.5
2012,Female,Rafah,2012,47.2
2013,Female,Rafah,2013,55.7
2014,Female,Rafah,2014,54.0
2015,Female,Rafah,2015,62.9
2016,Female,Rafah,2016,68.9
2017,Female,Rafah,2017,69.8
2018,Female,Rafah,2018,68.3
2000,Both sexes or no breakdown by sex,Jenin,2000,16.4
2001,Both sexes or no breakdown by sex,Jenin,2001,36.7
2002,Both sexes or no breakdown by sex,Jenin,2002,44.6
2003,Both sexes or no breakdown by sex,Jenin,2003,35.0
2004,Both sexes or no breakdown by sex,Jenin,2004,28.3
2005,Both sexes or no breakdown by sex,Jenin,2005,25.1
2006,Both sexes or no breakdown by sex,Jenin,2006,23.0
2007,Both sexes or no breakdown by sex,Jenin,2007,18.9
2008,Both sexes or no breakdown by sex,Jenin,2008,22.5
2009,Both sexes or no breakdown by sex,Jenin,2009,18.6
2010,Both sexes or no breakdown by sex,Jenin,2010,15.3
2011,Both sexes or no breakdown by sex,Jenin,2011,13.4
2012,Both sexes or no breakdown by sex,Jenin,2012,14.8
2013,Both sexes or no breakdown by sex,Jenin,2013,18.1
2014,Both sexes or no breakdown by sex,Jenin,2014,16.0
2015,Both sexes or no breakdown by sex,Jenin,2015,15.9
2016,Both sexes or no breakdown by sex,Jenin,2016,19.1
2017,Both sexes or no breakdown by sex,Jenin,2017,18.8
2018,Both sexes or no breakdown by sex,Jenin,2018,20.9
2000,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2000,15.7
2001,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2001,30.4
2002,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2002,39.1
2003,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2003,24.5
2004,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2004,21.7
2005,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2005,20.0
2006,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2006,19.5
2007,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2007,20.0
2008,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2008,16.9
2009,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2009,13.3
2010,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2010,11.7
2011,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2011,14.9
2012,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2012,15.5
2013,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2013,16.0
2014,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2014,15.4
2015,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2015,17.8
2016,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2016,18.5
2017,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2017,21.6
2018,Both sexes or no breakdown by sex,Tubas & Northern Valleys,2018,19.4
2000,Both sexes or no breakdown by sex,Tulkarm,2000,16.5
2001,Both sexes or no breakdown by sex,Tulkarm,2001,20.5
