Indicator,Disaggregations,Number of disaggregations
#17-11-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#17-18-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#17-18-3,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#17-19-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#17-3-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#17-4-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#17-6-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#17-8-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#2-1-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#2-2-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#2-2-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX, AGE",12
#2-5-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#3-1-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#3-1-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, URBANISATION",11
#3-2-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, AGE, URBANISATION",12
#3-2-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, AGE",11
#3-3-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#3-3-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#3-3-3,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#3-4-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#3-6-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#3-7-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX, AGE",12
#3-7-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX, AGE",12
#3-a-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, AGE",11
#3-b-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, AGE",11
#3-c-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, OCCUPATION",11
#3-d-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, COMPOSITE_BREAKDOWN",11
#4-1-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX, EDUCATION_LEV",12
#4-2-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX, AGE, EDUCATION_LEV",13
#4-2-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX, EDUCATION_LEV",12
#4-3-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX, AGE",12
#4-4-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, URBANISATION, COMPOSITE_BREAKDOWN",12
#4-5-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, AGE, URBANISATION, EDUCATION_LEV",13
#4-6-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX",11
#4-a-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, EDUCATION_LEV",11
#4-c-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX, EDUCATION_LEV",12
#5-1-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#5-2-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX",11
#5-2-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#5-3-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX, AGE",12
#5-4-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX",11
#5-5-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX",11
#5-5-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX",11
#5-6-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX",11
#5-6-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#5-a-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX",11
#5-a-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#5-b-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, URBANISATION",11
#6-1-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#6-2-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#6-3-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#6-5-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#7-1-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#7-1-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, URBANISATION",11
#7-2-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#8-1-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#8-10-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#8-10-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#8-2-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#8-5-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX, AGE, OCCUPATION",13
#8-5-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX",11
#8-6-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, AGE",11
#8-7-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX, AGE",12
#8-8-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, SEX",11
#8-9-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#8-b-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#9-1-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE, URBANISATION",11
#9-1-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#9-2-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#9-2-2,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
#9-c-1,"OBS_STATUS, NATURE, COMMENT_OBS, UNIT_MULT, SOURCE_DETAIL, FREQ, REPORTING_TYPE, SERIES, REF_AREA, UNIT_MEASURE",10
